Origin,imageId,mikeS,mikeR,kelly,mike,paul,kim,phil,jim
ohsu-0076-6-OD-posterior.bmp,156,1,1,1,1,1,1,1,1
ohsu-0030-ks-3rd-OS-posterior.bmp,184,1,1,1,1,1,1,1,2
miam-0001-2-os.BMP,152,1,1,1,1,1,1,1,1
ohsu-0063-1-OS-posterior.bmp,154,1,1,1,1,1,1,1,2
ohsu-0038-eh-1st-OD-posterior.bmp,219,1,1,1,1,1,1,1,1
ohsu-0063-2-OD-posterior.bmp,176,1,1,1,1,1,1,1,1
ohsu-0066-kg-5th-OS-posterior.bmp,195,1,1,1,1,1,1,2,1
OHSU-0024-em-1st-OS-posterior.bmp,185,1,1,1,1,1,1,1,2
ohsu-0083-2-OS-posterior.bmp,209,1,1,1,1,1,1,1,1
ohsu-0011-mb-2nd-OS-posterior.bmp,160,1,1,1,1,1,1,1,1
ohsu-0038-eh-2nd-OD-posterior.bmp,139,1,1,1,1,1,1,1,1
ohsu-0119-1-OD-posterior.bmp,198,1,1,1,1,1,1,1,1
ohsu-0015-cw-1st-OS-posterior.bmp,151,1,1,1,1,1,1,1,1
ohsu-0029-ps-2nd-OD-posterior.bmp,128,1,1,1,1,1,1,1,1
ohsu-0083-2-OD-posterior.bmp,204,1,1,1,1,1,1,1,1
ohsu-0072-2-OS-posterior.bmp,178,1,1,1,1,1,1,1,1
ohsu-0073-1-OD-posterior.bmp,189,1,1,1,1,1,1,1,1
ohsu-0072-2-OD-posterior.bmp,179,1,1,1,1,1,1,1,1
ohsu-0060-2-OD-posterior.bmp,192,1,1,1,1,1,1,1,1
ohsu-0103-2-OS-posterior.bmp,166,1,1,1,1,1,2,1,1
ohsu-0046-vv-1st-OS-posterior.bmp,202,1,1,1,1,1,1,1,1
ohsu-0011-mb-1st-OD-posterior.bmp,196,1,1,1,1,1,1,1,1
ohsu-0065-1-OS-posterior.bmp,135,1,1,1,1,1,1,1,1
ohsu-0073-2-OS-posterior.bmp,188,1,1,1,1,1,1,1,2
ohsu-0078-1-OS-posterior.bmp,197,1,1,1,1,1,1,1,1
