imgID,revScores,rank,regressionScore,sumScore,weightedScore,avgScore,class
8_Full.JPG,800,9,108.957584,8,24,3,3
21_Full.bmp,710,8,92.3865378,7,23,2.875,3
5_Full.JPG,620,7,80.08862021,6,22,2.75,3
OHSU 54,260,6,58.42941233,2,18,2.25,2
32 full,161,5,64.73734455,1,16,2,2
ohsu-0135-7-OS-posterior.bmp,62,4,54.67433708,0,14,1.75,2
ohsu-0021-cl-2nd-OD-posterior.bmp,44,3,43.26103008,0,12,1.5,1
ohsu-0087-4-OS-posterior.bmp,35,2,34.18172493,0,11,1.375,1
ohsu-0073-1-OD-posterior.bmp,8,1,26.78496845,0,8,1,1
