img,rank,score
8_Full.JPG,9,105.7366176
21_Full.bmp,8,93.28643366
5_Full.JPG,7,79.11514695
miam-0018-5-od.BMP,6,68.06908509
32_Full.JPG,5,62.32949642
ohsu-0135-7-OS-posterior.bmp,4,53.94144221
ohsu-0021-cl-2nd-OD-posterior.bmp,3,44.2167945
ohsu-0087-4-OS-posterior.bmp,2,33.69997328
ohsu-0073-1-OD-posterior.bmp,1,25.69391258
