"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",233,2352.66084942645,32,25,0,7,0
"2",236,2337.64999363163,13,12,0,1,7
"3",240,2332.97969012139,58,40,0,18,3
"4",224,2321.70629599105,22,19,0,3,15
"5",231,2279.64752597172,35,22,0,13,0
"6",223,2270.88475546161,23,13,0,10,3
"7",239,2269.72692926304,32,20,0,12,21
"8",244,2269.26348928917,16,10,0,6,2
"9",232,2257.21949937206,32,20,0,12,5
"10",235,2244.60390831156,22,15,0,7,2
"11",243,2240.35224040037,68,41,0,27,7
"12",221,2215.26029708024,24,12,0,12,39
"13",229,2186.60479966199,16,8,0,8,16
"14",245,2181.20587942869,18,9,0,9,4
"15",225,2169.34462532672,21,8,0,13,8
"16",242,2162.56637147535,67,29,0,38,19
"17",228,2156.47640192959,31,11,0,20,1
"18",237,2110.48302491827,56,20,0,36,4
"19",227,2108.07051837231,19,3,0,16,12
"20",238,2106.71836661616,10,0,0,10,46
"21",234,2104.31970677079,12,1,0,11,33
"22",222,2102.02007302602,23,5,0,18,58
"23",241,2090.92662592671,35,11,0,24,1
"24",226,2064.85445381654,20,5,0,15,19
"25",230,2064.45367841059,17,2,0,15,5
