"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",233,2432.54671584831,32,31,0,1,0
"2",240,2350.37880629874,58,43,0,15,3
"3",223,2284.23292320668,23,13,0,10,3
"4",243,2283.60469633416,68,46,0,22,7
"5",235,2266.26672870853,22,16,0,6,2
"6",236,2259.6210360644,13,8,0,5,7
"7",232,2259.04970753718,32,20,0,12,5
"8",239,2251.39309365662,32,19,0,13,21
"9",224,2249.62263918131,22,16,0,6,15
"10",244,2249.20516419887,16,9,0,7,2
"11",237,2234.21493763701,56,25,0,31,4
"12",221,2207.70494732652,24,12,0,12,39
"13",231,2199.23023593456,35,15,0,20,0
"14",225,2178.73700024376,21,7,0,14,8
"15",229,2165.67007787046,16,7,0,9,16
"16",245,2150.49234531122,18,8,0,10,4
"17",242,2142.93448337151,67,27,0,40,19
"18",234,2142.68835386116,12,2,0,10,33
"19",228,2134.79436527074,31,12,0,19,1
"20",241,2124.42543756198,35,12,0,23,1
"21",238,2106.73912919519,10,0,0,10,46
"22",226,2102.10705344147,20,7,0,13,19
"23",227,2095.08599799833,19,2,0,17,12
"24",222,2065.09738330532,23,2,0,21,58
"25",230,2064.15674063598,17,2,0,15,5
