"","taskId","img0Id","img1ID","img0Name","img1Name","user","winner"
"56",55,235,244,"37_miam-0018-4-os.BMP","21_ohsu-0124-6-OS-posterior.bmp","jason",1
"57",56,245,237,"45_ohsu-0001-6-os-posterior2.bmp","9_miam-0014-3-os.BMP","jason",1
"58",57,236,243,"17_ohsu-0049-nv-14-OS-posterior2.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",1
"59",58,231,233,"69_ohsu-0063-3-OS-posterior.bmp","1_24-second-OS-temporal.bmp","jason",-1
"60",59,244,228,"21_ohsu-0124-6-OS-posterior.bmp","65_ohsu-0060-3-OS-posterior.bmp","jason",1
"61",60,233,242,"1_24-second-OS-temporal.bmp","29_miam-0018-5-od.BMP","jason",1
"62",61,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"63",62,229,237,"41_beau-0061-4-OS-posterior.bmp","9_miam-0014-3-os.BMP","jason",-1
"64",63,241,228,"61_miam--0027-2-od.BMP","65_ohsu-0060-3-OS-posterior.bmp","jason",-1
"65",64,230,232,"77_ohsu-0030-ks-3rd-OS-posterior.bmp","53_ohsu-0041-am-1st-OD-posterior.bmp","jason",-1
"66",65,233,242,"1_24-second-OS-temporal.bmp","29_miam-0018-5-od.BMP","jason",1
"67",66,244,228,"21_ohsu-0124-6-OS-posterior.bmp","65_ohsu-0060-3-OS-posterior.bmp","jason",1
"68",67,234,243,"93_ohsu-0072-2-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"69",68,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"70",69,225,243,"57_ohsu-0021-cl-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"71",70,233,242,"1_24-second-OS-temporal.bmp","29_miam-0018-5-od.BMP","jason",1
"72",71,232,241,"53_ohsu-0041-am-1st-OD-posterior.bmp","61_miam--0027-2-od.BMP","jason",-1
"73",72,239,242,"13_4_Full.JPG","29_miam-0018-5-od.BMP","jason",1
"74",73,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",1
"75",74,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",1
"76",75,231,233,"69_ohsu-0063-3-OS-posterior.bmp","1_24-second-OS-temporal.bmp","jason",-1
"77",76,223,240,"25_corn-0018-3-od-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",1
"78",77,236,243,"17_ohsu-0049-nv-14-OS-posterior2.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"79",78,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",1
"80",79,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"81",80,225,243,"57_ohsu-0021-cl-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"82",81,240,241,"5_ohsu-0054-5-os.bmp","61_miam--0027-2-od.BMP","jason",1
"83",82,230,232,"77_ohsu-0030-ks-3rd-OS-posterior.bmp","53_ohsu-0041-am-1st-OD-posterior.bmp","jason",-1
"84",83,238,235,"73_ohsu-0031-cc-3rd-OS-posterior.bmp","37_miam-0018-4-os.BMP","jason",-1
"85",84,227,243,"89_ohsu-0029-ps-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"86",85,230,232,"77_ohsu-0030-ks-3rd-OS-posterior.bmp","53_ohsu-0041-am-1st-OD-posterior.bmp","jason",-1
"87",86,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",1
"88",87,242,242,"29_miam-0018-5-od.BMP","29_miam-0018-5-od.BMP","jason",-1
"89",88,230,232,"77_ohsu-0030-ks-3rd-OS-posterior.bmp","53_ohsu-0041-am-1st-OD-posterior.bmp","jason",-1
"90",89,245,237,"45_ohsu-0001-6-os-posterior2.bmp","9_miam-0014-3-os.BMP","jason",1
