"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",233,2655.87711582182,160,142,0,18,0
"2",223,2464.6126087645,115,76,0,39,3
"3",236,2444.94683049061,65,48,0,17,7
"4",244,2408.60361956734,80,47,0,33,2
"5",231,2356.65699207945,175,91,0,84,0
"6",240,2351.53627488357,290,194,0,96,3
"7",239,2324.89554891282,160,104,0,56,21
"8",243,2269.76453573598,340,215,0,125,7
"9",221,2263.66873433932,120,49,0,71,39
"10",224,2255.37608413496,110,81,0,29,15
"11",237,2242.99254530146,280,125,0,155,4
"12",235,2234.46651286485,110,76,0,34,2
"13",232,2228.85695773582,160,97,0,63,5
"14",229,2215.65040784935,80,36,0,44,16
"15",242,2170.981914041,335,150,0,185,19
"16",225,2140.79943573178,105,44,0,61,8
"17",228,2133.56564785742,155,56,0,99,1
"18",245,2085.98096271422,90,38,0,52,4
"19",222,2064.07436046598,115,20,0,95,58
"20",238,2044.72955397335,50,3,0,47,46
"21",241,2012.23273789468,175,58,0,117,1
"22",227,1978.47939481053,95,11,0,84,12
"23",234,1972.05436809568,60,7,0,53,33
"24",226,1870.72823126609,100,24,0,76,19
"25",230,1808.46862466741,85,13,0,72,5
