taskId,img0Id,img1ID,img0Name,img1Name,jason,karyn,kim,nina,tom
53,230,232,77_ohsu-0030-ks-3rd-OS-posterior.bmp,53_ohsu-0041-am-1st-OD-posterior.bmp,1,-1,1,-1,1
54,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,1,1,-1,1,1
55,235,244,37_miam-0018-4-os.BMP,21_ohsu-0124-6-OS-posterior.bmp,1,1,1,1,1
56,245,237,45_ohsu-0001-6-os-posterior2.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
57,236,243,17_ohsu-0049-nv-14-OS-posterior2.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,1,1,1,1,1
58,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,1,-1,-1,1
59,244,228,21_ohsu-0124-6-OS-posterior.bmp,65_ohsu-0060-3-OS-posterior.bmp,1,1,1,1,1
60,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,1,1,1,1
61,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
62,229,237,41_beau-0061-4-OS-posterior.bmp,9_miam-0014-3-os.BMP,-1,-1,-1,-1,-1
63,241,228,61_miam--0027-2-od.BMP,65_ohsu-0060-3-OS-posterior.bmp,-1,-1,-1,-1,-1
64,230,232,77_ohsu-0030-ks-3rd-OS-posterior.bmp,53_ohsu-0041-am-1st-OD-posterior.bmp,-1,1,1,1,1
65,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,1,1,1,1
66,244,228,21_ohsu-0124-6-OS-posterior.bmp,65_ohsu-0060-3-OS-posterior.bmp,1,1,1,1,1
67,234,243,93_ohsu-0072-2-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
68,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
69,225,243,57_ohsu-0021-cl-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
70,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,1,1,1,-1
71,232,241,53_ohsu-0041-am-1st-OD-posterior.bmp,61_miam--0027-2-od.BMP,-1,-1,-1,-1,-1
72,239,242,13_4_Full.JPG,29_miam-0018-5-od.BMP,1,1,1,1,1
