task_id,image0,image1,winner,user,date,icl
1044,183,212,-1,karyn,Wed Apr 29 2015 18:47:05 GMT-0400 (EDT),ICL_third_set_hundred_r2
1045,144,177,-1,karyn,Wed Apr 29 2015 18:47:09 GMT-0400 (EDT),ICL_third_set_hundred_r2
1046,164,194,1,karyn,Wed Apr 29 2015 18:47:11 GMT-0400 (EDT),ICL_third_set_hundred_r2
1047,183,187,-1,karyn,Wed Apr 29 2015 18:47:13 GMT-0400 (EDT),ICL_third_set_hundred_r2
1048,130,172,1,karyn,Wed Apr 29 2015 18:47:19 GMT-0400 (EDT),ICL_third_set_hundred_r2
1049,146,169,1,karyn,Wed Apr 29 2015 18:47:34 GMT-0400 (EDT),ICL_third_set_hundred_r2
105,156,170,1,karyn,Wed Apr 29 2015 10:14:28 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1050,134,146,1,karyn,Wed Apr 29 2015 18:47:36 GMT-0400 (EDT),ICL_third_set_hundred_r2
1051,196,162,-1,karyn,Wed Apr 29 2015 18:47:37 GMT-0400 (EDT),ICL_third_set_hundred_r2
1052,152,214,-1,karyn,Wed Apr 29 2015 18:47:40 GMT-0400 (EDT),ICL_third_set_hundred_r2
1053,183,209,1,karyn,Wed Apr 29 2015 18:47:42 GMT-0400 (EDT),ICL_third_set_hundred_r2
1054,160,212,-1,karyn,Wed Apr 29 2015 18:47:43 GMT-0400 (EDT),ICL_third_set_hundred_r2
1055,144,149,-1,karyn,Wed Apr 29 2015 18:47:45 GMT-0400 (EDT),ICL_third_set_hundred_r2
1056,203,205,1,karyn,Wed Apr 29 2015 18:47:47 GMT-0400 (EDT),ICL_third_set_hundred_r2
1057,174,199,-1,karyn,Wed Apr 29 2015 18:47:49 GMT-0400 (EDT),ICL_third_set_hundred_r2
1058,185,220,-1,karyn,Wed Apr 29 2015 18:47:50 GMT-0400 (EDT),ICL_third_set_hundred_r2
1059,148,183,1,karyn,Wed Apr 29 2015 18:47:52 GMT-0400 (EDT),ICL_third_set_hundred_r2
106,220,144,1,karyn,Wed Apr 29 2015 10:14:30 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1060,130,141,-1,karyn,Wed Apr 29 2015 18:47:55 GMT-0400 (EDT),ICL_third_set_hundred_r2
1061,135,197,-1,karyn,Wed Apr 29 2015 18:47:59 GMT-0400 (EDT),ICL_third_set_hundred_r2
1062,141,196,1,karyn,Wed Apr 29 2015 18:48:01 GMT-0400 (EDT),ICL_third_set_hundred_r2
1063,176,194,-1,karyn,Wed Apr 29 2015 18:48:04 GMT-0400 (EDT),ICL_third_set_hundred_r2
1064,206,124,1,karyn,Wed Apr 29 2015 18:48:06 GMT-0400 (EDT),ICL_third_set_hundred_r2
1065,159,145,1,karyn,Wed Apr 29 2015 18:48:12 GMT-0400 (EDT),ICL_third_set_hundred_r2
1066,174,191,-1,karyn,Wed Apr 29 2015 18:48:15 GMT-0400 (EDT),ICL_third_set_hundred_r2
1067,215,175,-1,karyn,Wed Apr 29 2015 18:48:20 GMT-0400 (EDT),ICL_third_set_hundred_r2
1068,144,147,-1,karyn,Wed Apr 29 2015 18:48:23 GMT-0400 (EDT),ICL_third_set_hundred_r2
1069,148,159,-1,karyn,Wed Apr 29 2015 18:48:25 GMT-0400 (EDT),ICL_third_set_hundred_r2
107,172,179,1,karyn,Wed Apr 29 2015 10:14:32 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1070,167,210,-1,karyn,Wed Apr 29 2015 18:48:31 GMT-0400 (EDT),ICL_third_set_hundred_r2
1071,189,196,1,karyn,Wed Apr 29 2015 18:48:38 GMT-0400 (EDT),ICL_third_set_hundred_r2
1072,207,123,1,karyn,Wed Apr 29 2015 18:48:42 GMT-0400 (EDT),ICL_third_set_hundred_r2
1073,169,189,1,karyn,Wed Apr 29 2015 18:48:44 GMT-0400 (EDT),ICL_third_set_hundred_r2
1074,211,214,-1,karyn,Wed Apr 29 2015 18:48:47 GMT-0400 (EDT),ICL_third_set_hundred_r2
1075,174,187,-1,karyn,Wed Apr 29 2015 18:48:49 GMT-0400 (EDT),ICL_third_set_hundred_r2
1076,204,214,-1,karyn,Wed Apr 29 2015 18:48:50 GMT-0400 (EDT),ICL_third_set_hundred_r2
1077,171,204,1,karyn,Wed Apr 29 2015 18:48:54 GMT-0400 (EDT),ICL_third_set_hundred_r2
1078,139,156,1,karyn,Wed Apr 29 2015 18:48:59 GMT-0400 (EDT),ICL_third_set_hundred_r2
1079,139,199,-1,karyn,Wed Apr 29 2015 18:49:01 GMT-0400 (EDT),ICL_third_set_hundred_r2
108,165,173,1,karyn,Wed Apr 29 2015 10:14:37 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1080,185,170,-1,karyn,Wed Apr 29 2015 18:49:03 GMT-0400 (EDT),ICL_third_set_hundred_r2
1081,157,160,1,karyn,Wed Apr 29 2015 18:49:05 GMT-0400 (EDT),ICL_third_set_hundred_r2
1082,198,218,-1,karyn,Wed Apr 29 2015 18:49:08 GMT-0400 (EDT),ICL_third_set_hundred_r2
1083,129,139,1,karyn,Wed Apr 29 2015 18:49:10 GMT-0400 (EDT),ICL_third_set_hundred_r2
1084,137,169,1,karyn,Wed Apr 29 2015 18:49:12 GMT-0400 (EDT),ICL_third_set_hundred_r2
1085,172,203,-1,karyn,Wed Apr 29 2015 18:49:13 GMT-0400 (EDT),ICL_third_set_hundred_r2
