imageId,Origin,rank
1,8_full.jpg,1
2,4_full.jpg,4
3,ohsu-0057-5-os.bmp,5
4,ohsu-0118-10-OD-posterior.bmp,9
5,ohsu-0123-4-OS-posterior.bmp,8
6,ohsu-0084-7-OS-posterior.bmp,7
7,ohsu-0085-2-OD-posterior.bmp,6
8,ohsu-0117-1-OD-posterior.bmp,10
9,ohsu-0049-12-od.bmp,3
10,ohsu-0058-5-OD-posterior2.bmp,2
