"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",258,2479.754845624,41,39,0,2,63
"2",250,2476.49363090573,41,38,0,3,8
"3",246,2468.99192603372,40,38,0,2,0
"4",251,2444.51385242837,42,37,0,5,9
"5",262,2437.82081397898,42,36,0,6,28
"6",278,2436.41238603232,42,38,0,4,27
"7",254,2390.01426481666,39,32,0,7,12
"8",279,2356.72520673063,43,31,0,12,24
"9",249,2352.68669865876,37,29,0,8,3
"10",273,2306.12100328551,39,27,0,12,7
"11",263,2268.69320069852,36,24,0,12,2
"12",257,2261.54975172114,37,23,0,14,1
"13",247,2260.53764067711,39,23,0,16,11
"14",252,2244.15416677105,36,21,0,15,16
"15",274,2241.47059782937,40,23,0,17,3
"16",261,2230.42136905107,39,22,0,17,33
"17",271,2227.80352929639,39,20,0,19,37
"18",269,2216.80251984756,41,22,0,19,4
"19",272,2151.83721281177,40,18,0,22,1
"20",275,2123.13866259811,39,15,0,24,0
"21",248,2118.06698870175,46,17,0,29,24
"22",259,2118.05723977769,37,14,0,23,62
"23",267,2097.16631292135,38,11,0,27,6
"24",270,2082.09007045522,38,11,0,27,2
"25",277,2069.24538736862,39,11,0,28,6
"26",264,2050.0207721196,36,9,0,27,61
"27",266,2049.89588288578,35,7,0,28,13
"28",276,2036.81536422412,38,8,0,30,14
"29",255,2022.865744822,38,8,0,30,22
"30",260,2018.29830300093,41,9,0,32,10
"31",265,1989.45384142484,47,7,0,40,17
"32",256,1947.68293791913,43,4,0,39,4
"33",268,1938.49362069588,38,2,0,36,5
"34",253,1885.9042538863,42,0,0,42,7
